date,team,elo,fifa_rank,fifa_points,confederation,draws_last_10,draws_last_5,goal_diff_last_10,goal_diff_last_5,goals_against_last_10,goals_against_last_5,goals_for_last_10,goals_for_last_5,losses_last_10,losses_last_5,points_last_10,points_last_5,points_per_match_last_10,points_per_match_last_5,wins_last_10,wins_last_5
2026-03-31,DR Congo,1500.0,58.0,1416.91,,2.0,1.0,7.0,5.0,6.0,2.0,13.0,7.0,2.0,1.0,20.0,10.0,2.0,2.0,6.0,3.0
2026-03-31,Denmark,1825.0,20.0,1621.7,UEFA,2.0,1.0,16.0,10.0,13.0,7.0,29.0,17.0,2.0,1.0,20.0,10.0,2.0,2.0,6.0,3.0
2025-11-26,Djibouti,914.0,192.0,875.13,,2.0,0.0,-23.0,-17.0,28.0,19.0,5.0,2.0,8.0,5.0,2.0,0.0,0.2,0.0,0.0,0.0
2026-03-30,Dominica,1001.0,181.0,916.73,,3.0,0.0,-12.0,-6.0,21.0,12.0,9.0,6.0,6.0,4.0,6.0,3.0,0.6,0.6,1.0,1.0
2026-03-29,Dominican Republic,1205.0,146.0,1057.75,,3.0,2.0,-1.0,-2.0,15.0,6.0,14.0,4.0,5.0,2.0,9.0,5.0,0.9,1.0,2.0,1.0
2025-09-09,Ecuador,1883.0,27.0,1535.43,,6.0,4.0,7.0,1.0,1.0,1.0,8.0,2.0,0.0,0.0,18.0,7.0,1.8,1.4,4.0,1.0
2026-01-17,Egypt,1686.0,31.0,1515.64,CAF,4.0,1.0,1.0,3.0,11.0,4.0,12.0,7.0,2.0,1.0,16.0,10.0,1.6,2.0,4.0,3.0
2026-03-29,El Salvador,1409.0,80.0,1307.04,,2.0,1.0,-13.0,-9.0,17.0,11.0,4.0,2.0,7.0,4.0,5.0,1.0,0.5,0.2,1.0,0.0
2025-11-16,England,2015.0,4.0,1817.28,UEFA,0.0,0.0,26.0,17.0,3.0,0.0,29.0,17.0,1.0,0.0,27.0,15.0,2.7,3.0,9.0,5.0
2025-12-31,Equatorial Guinea,1517.0,94.0,1250.57,,3.0,1.0,-8.0,-7.0,16.0,9.0,8.0,2.0,6.0,4.0,6.0,1.0,0.6,0.2,1.0,0.0
2019-09-10,Eritrea,1078.0,202.0,868.0,,1.0,0.0,-17.0,-9.0,22.0,11.0,5.0,2.0,9.0,5.0,1.0,0.0,0.1,0.0,0.0,0.0
2026-03-30,Estonia,1366.0,122.0,1140.39,,3.0,2.0,-10.0,-3.0,22.0,11.0,12.0,8.0,5.0,2.0,9.0,5.0,0.9,1.0,2.0,1.0
2025-10-13,Eswatini,1258.0,159.0,1012.17,,5.0,3.0,-15.0,-5.0,22.0,10.0,7.0,5.0,5.0,2.0,5.0,3.0,0.5,0.6,0.0,0.0
2025-10-12,Ethiopia,1303.0,145.0,1063.44,,0.0,0.0,-9.0,0.0,19.0,7.0,10.0,7.0,7.0,3.0,9.0,6.0,0.9,1.2,3.0,2.0
2023-07-13,Falkland Islands,580.0,,,,0.0,0.0,-29.0,-14.0,35.0,17.0,6.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-14,Faroe Islands,1264.0,140.0,1089.51,,0.0,0.0,3.0,6.0,8.0,3.0,11.0,9.0,5.0,1.0,15.0,12.0,1.5,2.4,5.0,4.0
2025-11-20,Fiji,1204.0,150.0,1038.29,,4.0,0.0,-17.0,-18.0,27.0,21.0,10.0,3.0,4.0,4.0,10.0,3.0,1.0,0.6,2.0,1.0
2026-03-30,Finland,1641.0,64.0,1384.36,,1.0,0.0,-2.0,2.0,15.0,6.0,13.0,8.0,5.0,2.0,13.0,9.0,1.3,1.8,4.0,3.0
2025-11-16,France,2110.0,2.0,1851.92,UEFA,1.0,1.0,13.0,10.0,11.0,3.0,24.0,13.0,2.0,0.0,22.0,13.0,2.2,2.6,7.0,4.0
2024-11-19,French Guiana,1285.0,,,,1.0,1.0,0.0,-4.0,15.0,9.0,15.0,5.0,6.0,4.0,10.0,1.0,1.0,0.2,3.0,0.0
2025-07-17,Frøya,,,,,1.0,0.0,-29.0,-17.0,43.0,24.0,14.0,7.0,8.0,4.0,4.0,3.0,0.4,0.6,1.0,1.0
2026-03-30,Gabon,1442.0,84.0,1292.88,,1.0,0.0,1.0,-8.0,17.0,14.0,18.0,6.0,5.0,5.0,13.0,0.0,1.3,0.0,4.0,0.0
2025-10-14,Gambia,1399.0,124.0,1137.47,,2.0,1.0,4.0,4.0,13.0,7.0,17.0,11.0,3.0,1.0,17.0,10.0,1.7,2.0,5.0,3.0
2025-11-18,Georgia,1638.0,66.0,1378.22,,1.0,0.0,1.0,-7.0,17.0,13.0,18.0,6.0,5.0,4.0,13.0,3.0,1.3,0.6,4.0,1.0
2025-11-17,Germany,1886.0,13.0,1692.19,UEFA,2.0,0.0,5.0,7.0,12.0,3.0,17.0,10.0,3.0,1.0,17.0,12.0,1.7,2.4,5.0,4.0
